lateral_range,lateral_range_delta,lateral_range_percent_change,forward_velocity,forward_velocity_delta,forward_velocity_percent_change,run_name
0.01554986,0.00000237,0.01521697,0.00028142,-0.00000027,-0.09617813,VB01
0.01554965,0.00000215,0.01381592,0.00028168,-0.00000001,-0.00355465,AVBR
0.01554956,0.00000206,0.01323185,0.00028167,-0.00000002,-0.00804473,DB01
0.01554952,0.00000202,0.01300609,0.00028165,-0.00000004,-0.01345465,VD08
0.01554949,0.00000199,0.01279916,0.00028154,-0.00000016,-0.05537765,VB09
0.01554941,0.00000191,0.01230020,0.00028172,0.00000002,0.00821622,AVBL
0.01554934,0.00000184,0.01185647,0.00028168,-0.00000001,-0.00297780,VD10
0.01554927,0.00000177,0.01140428,0.00028171,0.00000002,0.00589323,DD05
0.01554917,0.00000167,0.01074550,0.00028177,0.00000008,0.02812536,VD11
0.01554881,0.00000131,0.00842059,0.00028170,0.00000001,0.00313370,DD02
0.01554862,0.00000112,0.00721640,0.00028172,0.00000002,0.00813827,VD03
0.01554852,0.00000102,0.00657224,0.00028197,0.00000028,0.09951451,DB03
0.01554820,0.00000071,0.00454066,0.00028170,0.00000001,0.00293102,VD13
0.01554800,0.00000050,0.00321693,0.00028173,0.00000004,0.01312725,VD09
0.01554768,0.00000018,0.00116456,0.00028172,0.00000003,0.00927638,VD02
0.01554758,0.00000008,0.00054314,0.00028173,0.00000004,0.01331433,DD03
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,baseline
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ADAL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ADAR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ADEL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ADER
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ADFL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ADFR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ADLL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,ADLR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AFDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AFDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AIAL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AIAR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AIBL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AIBR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AIML
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AIMR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AINL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AINR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AIYL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AIYR
